tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt5774062,movie,2020,101.0,"Comedy,Drama,Horror",6.5,2.0,4.0,4.0,4.0,3.0,T16
tt5923962,movie,2016,95.0,"Action,Animation,Drama",7.1,3.0,4.0,2.0,2.0,3.0,T18
tt3628584,movie,2016,111.0,"Comedy,Drama",5.9,3.0,2.0,3.0,2.0,3.0,T13
tt4430136,movie,2015,137.0,"Comedy,Drama,Romance",7.3,3.0,2.0,4.0,3.0,2.0,K
tt7019942,movie,2019,176.0,"Comedy,Crime,Drama",8.3,2.0,2.0,4.0,2.0,3.0,T13
tt1841642,movie,2015,83.0,"Horror,Mystery,Thriller",5.3,1.0,3.0,3.0,1.0,3.0,T16
tt0951335,movie,2009,108.0,"Horror,Thriller",5.3,1.0,3.0,2.0,1.0,3.0,T13
tt1604171,movie,2011,104.0,"Comedy,Drama,Family",5.4,1.0,2.0,2.0,1.0,2.0,K
tt2452150,movie,2021,145.0,"Biography,Drama,Music",6.6,2.0,2.0,2.0,3.0,3.0,T13
tt0105459,movie,1992,90.0,"Action,Crime,Horror",6.0,2.0,4.0,3.0,2.0,3.0,T18
tt3610746,movie,2016,83.0,"Horror,Thriller",5.5,2.0,3.0,3.0,2.0,3.0,T16
tt0338512,movie,2004,109.0,"Adventure,Drama,Family",7.0,2.0,4.0,2.0,4.0,4.0,K
tt15445056,movie,2022,99.0,"Action,Drama,Thriller",6.8,1.0,3.0,3.0,1.0,3.0,T16
tt0116552,movie,1996,88.0,"Adventure,Comedy,Family",5.9,1.0,2.0,1.0,2.0,2.0,P
tt0037515,movie,1945,97.0,"Crime,Drama,Mystery",7.4,1.0,2.0,1.0,2.0,2.0,T18
tt1167660,movie,2009,101.0,"Action,Adventure,Comedy",6.8,3.0,2.0,2.0,2.0,2.0,T13
tt1520498,movie,2012,88.0,"Adventure,Family,Fantasy",1.7,4.0,4.0,4.0,4.0,4.0,P
tt0099800,movie,1990,100.0,"Comedy,Music,Romance",6.5,2.0,2.0,4.0,2.0,1.0,T16
tt0020697,movie,1930,104.0,"Drama,Music",7.7,2.0,2.0,2.0,4.0,2.0,T16
tt0041113,movie,1949,110.0,"Drama,Film-Noir",7.4,1.0,2.0,1.0,2.0,2.0,T18
tt14814040,movie,2022,100.0,"Comedy,Drama",6.0,2.0,1.0,3.0,3.0,2.0,T16
tt0090837,movie,1986,77.0,"Comedy,Horror,Sci-Fi",5.6,3.0,3.0,3.0,2.0,2.0,T16
